"103","2","-1611,3910","3910"
"104","2","3328,-1442","3328"
"105","2","276,2360","2360"
"106","2","-8001,7583","7583"
"107","2","1244,-5922","1244"
"108","2","-2044,-7833","-2044"
"109","2","-751,2762","2762"
"110","2","-120,-7277","-120"
"111","2","-7162,-4143","-4143"
"112","2","6074,-938","6074"
"113","2","9358,-8151","9358"
"114","2","-3027,-7171","-3027"
"115","2","7562,-5387","7562"
"116","2","-1081,4669","4669"
"117","2","978,8339","8339"
"118","2","-911,9367","9367"
"119","2","2249,-7583","2249"
"120","2","-2075,-7475","-2075"
"121","2","4777,-76","4777"
"122","2","-9893,-3980","-3980"
"123","2","4003,-1937","4003"
"124","2","-1812,-6749","-1812"
"125","2","-9175,8069","8069"
"126","2","-4025,-6336","-4025"
"127","2","-6074,-7951","-6074"
"128","2","2726,-6717","2726"
"129","2","-6101,9699","9699"
"130","2","-3888,-8540","-3888"
"131","2","-5688,5032","5032"
"132","2","6129,5290","6129"
"133","2","3371,-4782","3371"
"134","2","4657,-4380","4657"
"135","2","-2365,-7418","-2365"
"136","2","-1855,-7589","-1855"
"137","2","2507,-1747","2507"
"138","2","-1568,-3491","-1568"
"139","2","6316,6621","6621"
"140","2","-239,7141","7141"
"141","2","4689,5737","5737"
"142","2","-9196,8615","8615"
"143","2","7786,3531","7786"
"144","2","-8102,-8316","-8102"
"145","2","3230,-1989","3230"
"146","2","-6855,7542","7542"
"147","2","-6958,9274","9274"
"148","2","2832,6413","6413"
"149","2","-5508,-2511","-2511"
"150","2","-7968,2128","2128"
"151","2","71,178","178"
"152","2","4539,-7423","4539"
"153","2","8431,-7029","8431"
"154","2","-913,4747","4747"
"155","2","9592,8848","9592"
"156","2","1887,4281","4281"
"157","2","4584,2692","4584"
"158","2","2895,2370","2895"
"159","2","-3777,4793","4793"
"160","2","4055,9454","9454"
"161","2","-7197,7200","7200"
"162","2","6996,-4154","6996"
"163","2","6474,-173","6474"
"164","2","-7742,-9035","-7742"
"165","2","7317,-5709","7317"
"166","2","3093,-2613","3093"
"167","2","4470,-2368","4470"
"168","2","-35,2900","2900"
"169","2","604,9052","9052"
"170","2","-2354,196","196"
"171","2","7900,9534","9534"
"172","2","-5524,2483","2483"
"173","2","2226,7371","7371"
"174","2","-5148,8450","8450"
"175","2","2164,8907","8907"
"176","2","7903,4968","7903"
"177","2","6107,4898","6107"
"178","2","-9186,2580","2580"
"179","2","-5275,-6927","-5275"
"180","2","3546,-7959","3546"
"181","2","-2636,-3361","-2636"
"182","2","-571,-8167","-571"
"183","2","4272,9395","9395"
"184","2","4734,-5124","4734"
"185","2","8446,-7620","8446"
"186","2","5072,6345","6345"
"187","2","-8087,9548","9548"
"188","2","-1172,4140","4140"
"189","2","6918,3681","6918"
"190","2","2589,-918","2589"
"191","2","2588,491","2588"
"192","2","-5950,-1306","-1306"
"193","2","-4611,-5136","-4611"
"194","2","-8726,114","114"
"195","2","-2063,4821","4821"
"196","2","2155,5302","5302"
"197","2","-8541,-8416","-8416"
"198","2","7136,5732","7136"
"199","2","-9022,1869","1869"
"200","2","-9393,9425","9425"
"201","2","4249,5679","5679"
"202","2","5770,6163","6163"
